Medal,Name,Sex,NOC,Event,Sport,City,Team,Games,Year,Weight,Height,Age,Season,ID
Gold,KIM Je Deok,X,KOR,Mixed Team,Archery,Tokyo,South Korea,2020 Tokyo,2020,88,180,24,Summer,0
Gold,AN San,X,KOR,Mixed Team,Archery,Tokyo,South Korea,2020 Tokyo,2020,103,163,21,Summer,0
Silver,SCHLOESSER Gabriela,X,NED,Mixed Team,Archery,Tokyo,Netherlands,2020 Tokyo,2020,119,190,18,Summer,0
Silver,WIJLER Steve,X,NED,Mixed Team,Archery,Tokyo,Netherlands,2020 Tokyo,2020,128,155,25,Summer,0
Bronze,ALVAREZ Luis,X,MEX,Mixed Team,Archery,Tokyo,Mexico,2020 Tokyo,2020,64,184,22,Summer,0
Bronze,VALENCIA Alejandra,X,MEX,Mixed Team,Archery,Tokyo,Mexico,2020 Tokyo,2020,83,198,26,Summer,0
Gold,CARAPAZ Richard,M,ECU,Men's Road Race,Cycling,Tokyo,Ecuador,2020 Tokyo,2020,126,179,21,Summer,0
Silver,van AERT Wout,M,BEL,Men's Road Race,Cycling,Tokyo,Belgium,2020 Tokyo,2020,70,182,26,Summer,0
Bronze,POGACAR Tadej,M,SLO,Men's Road Race,Cycling,Tokyo,Slovenia,2020 Tokyo,2020,123,142,33,Summer,0
Gold,SZILAGYI Aron,M,HUN,Men's Sabre Individual,Fencing,Tokyo,Hungary,2020 Tokyo,2020,136,200,19,Summer,0
Silver,SAMELE Luigi,M,ITA,Men's Sabre Individual,Fencing,Tokyo,Italy,2020 Tokyo,2020,107,177,26,Summer,0
Bronze,KIM Junghwan,M,KOR,Men's Sabre Individual,Fencing,Tokyo,South Korea,2020 Tokyo,2020,51,188,18,Summer,0
Gold,SUN Yiwen,W,CHN,Women's &Eacute;p&eacute;e Individual,Fencing,Tokyo,China,2020 Tokyo,2020,91,155,33,Summer,0
Silver,POPESCU Ana Maria,W,ROU,Women's &Eacute;p&eacute;e Individual,Fencing,Tokyo,Romania,2020 Tokyo,2020,93,173,21,Summer,0
Bronze,LEHIS Katrina,W,EST,Women's &Eacute;p&eacute;e Individual,Fencing,Tokyo,Estonia,2020 Tokyo,2020,120,203,19,Summer,0
